point,width,curvature,angle,x,y,apps,brake,steering_position
140,5,0.000115669937194117,0.0188998112586625,140.311543769119,212.335997148874,0.0342277791381941,-0,0.0970123141081016
145,5,0.000112868605167544,0.0194711576145667,135.311593228651,212.35822551788,0.0334790639833169,-0,0.0982328082245937
150,5,0.000109564968476818,0.0200272415486776,130.31163114838,212.37767678391,0.0338101775886083,-0,0.0975075103025665
155,5,0.000108720620530688,0.0205729555211963,125.311659857681,212.394611969342,0.0357363324635536,-0,0.0952672489133904
160,5,0.000115140167348838,0.0211326074908951,120.311679059222,212.408422107425,0.0350453946223124,-0,0.0977864907049664
165,5,0.000128903910789281,0.0217427176862404,115.311691106762,212.419381686168,0.0349476515567075,-0,0.104512819272468
170,5,0.000152336117369321,0.0224458177566369,110.311697909795,212.427581294673,1.22358520810393,-0,0.113150297980289
175,5,0.000185854427129626,0.0232912941178843,105.311700242658,212.432224370434,6.30634953521803,-0,0.149153021699412
180,5,0.000146208528871514,0.0241214515078872,100.311700440198,212.432003974344,7.68833834680512,-0,0.151489295208782
185,5,7.02906957897518e-05,0.0246626995695403,95.3117036557677,212.42659019757,12.4303389588946,-0,0.117647290229401
190,5,0.000211295838038837,0.0253666659041118,90.3117191934418,212.414384333016,15.9876409229508,-0,0.167273539583415
195,5,0.000650840740712343,0.0275220073509897,85.3117590031104,212.394493434749,18.0132241065011,-0,0.35487102704609
200,5,0.00144772892148682,0.0327684315064877,80.3118304658185,212.367845627613,27.4832488106101,-0,0.646479959010683
205,5,0.00274603551966992,0.0432528426093795,75.3119483740553,212.333669493717,26.1307864444324,-0,0.21941294918992
210,5,0.00428136251595624,0.0608213376984449,70.3137491099806,212.208066231484,22.2679779113975,-0,2.21129529487025
215,5,0.00573566222460108,0.0858638995498382,65.3188195163383,211.983818462953,16.2270675393838,-0,2.6379366189612
220,5,0.00759036682122044,0.119178972164392,60.3327052346964,211.616347760873,13.8775689808668,-0,3.48304276631079
225,5,0.0100694903030858,0.163328614975158,55.3670667196298,211.034624731094,10.856939112262,-0,4.42050856107779
230,5,0.0119649433279056,0.218414699052636,50.4321087581138,210.233325089887,8.16740934131073,-0,2.79439524812172
235,5,0.0124858314116822,0.279541635901606,45.5390069289821,209.207335734039,4.84511639045231,-0,3.47116056980729
240,5,0.0124131323655562,0.341789045344702,40.7413030079815,207.80784513726,5.99310491861681,-0,6.50521223528062
245,5,0.0125583961898301,0.404217866733168,36.0977343060421,205.956134831379,3.98889843383494,-0,6.62252244150177
250,5,0.0133643729312797,0.469024789535942,31.5369833316617,203.907523943004,1.96863524798262,-0,6.64646684555409
255,5,0.015345154400805,0.540798607866154,27.0590868882306,201.684153054271,3.2389967477772,-0,7.08503003172408
260,5,0.0182128132056243,0.624693526882227,22.7647129722885,199.126612847357,1.59523936190734,-0,6.78945727856561
265,5,0.020496241852939,0.721466164528636,18.7321863348405,196.174669327128,0.221293653734773,-0,7.34438595183865
270,5,0.0207025655028372,0.824463182918076,15.0574117654205,192.78816014232,0.00104033064672382,-0,8.02217675653508
275,5,0.0200487512242234,0.926341474735727,11.879503278571,188.934888461438,0.0110150637724652,-0,9.75055548163109
280,5,0.0208727681606753,1.02864527319797,9.07601455004667,184.79529034566,0.0241307132924585,-0,9.84571670514408
285,5,0.0222392554794189,1.13642533229821,6.56362252339074,180.474071045997,0.0264954139195025,-0,2.15783814016449
290,5,0.0231697018070669,1.24994772551442,4.44960649742349,175.94507119635,0,1.13194922680883,9.58970875861315
295,5,0.0242383019308219,1.36846773485915,2.9103775489995,171.193957403425,0.108984147370744,-0,2.90514656821757
